2015-10-19 9:01:12 - PHP Notice:  Error: Unknown column 'thumbnail_image' in 'field list'<br />Error No: 1054<br />INSERT INTO `oc_category` (`category_id`, `image`, `parent_id`, `top`, `column`, `sort_order`, `status`, `date_added`, `date_modified`, `thumbnail_image`) VALUES ('63', '', '30', '0', '1', '0', '1', '2015-07-01 21:59:09', '2015-10-01 14:20:02', '') in D:\xampp\htdocs\Opencart\tt_optician\system\library\db\mysqli.php on line 41
2015-10-19 9:01:12 - PHP Notice:  Error: Unknown column 'thumbnail_image' in 'field list'<br />Error No: 1054<br />INSERT INTO `oc_category` (`category_id`, `image`, `parent_id`, `top`, `column`, `sort_order`, `status`, `date_added`, `date_modified`, `thumbnail_image`) VALUES ('70', '', '32', '0', '1', '0', '1', '2015-07-01 22:03:14', '2015-10-01 14:20:35', '') in D:\xampp\htdocs\Opencart\tt_optician\system\library\db\mysqli.php on line 41
2015-10-19 9:01:12 - PHP Notice:  Error: Unknown column 'thumbnail_image' in 'field list'<br />Error No: 1054<br />INSERT INTO `oc_category` (`category_id`, `image`, `parent_id`, `top`, `column`, `sort_order`, `status`, `date_added`, `date_modified`, `thumbnail_image`) VALUES ('69', '', '32', '0', '1', '0', '1', '2015-07-01 22:02:58', '2015-10-01 14:20:32', '') in D:\xampp\htdocs\Opencart\tt_optician\system\library\db\mysqli.php on line 41
2015-10-19 9:01:12 - PHP Notice:  Error: Unknown column 'thumbnail_image' in 'field list'<br />Error No: 1054<br />INSERT INTO `oc_category` (`category_id`, `image`, `parent_id`, `top`, `column`, `sort_order`, `status`, `date_added`, `date_modified`, `thumbnail_image`) VALUES ('68', '', '31', '0', '1', '0', '1', '2015-07-01 22:01:55', '2015-10-01 14:20:21', '') in D:\xampp\htdocs\Opencart\tt_optician\system\library\db\mysqli.php on line 41
2015-10-19 9:01:12 - PHP Notice:  Error: Unknown column 'thumbnail_image' in 'field list'<br />Error No: 1054<br />INSERT INTO `oc_category` (`category_id`, `image`, `parent_id`, `top`, `column`, `sort_order`, `status`, `date_added`, `date_modified`, `thumbnail_image`) VALUES ('67', '', '31', '0', '1', '0', '1', '2015-07-01 22:01:37', '2015-10-01 14:20:25', '') in D:\xampp\htdocs\Opencart\tt_optician\system\library\db\mysqli.php on line 41
2015-10-19 9:01:12 - PHP Notice:  Error: Unknown column 'thumbnail_image' in 'field list'<br />Error No: 1054<br />INSERT INTO `oc_category` (`category_id`, `image`, `parent_id`, `top`, `column`, `sort_order`, `status`, `date_added`, `date_modified`, `thumbnail_image`) VALUES ('45', '', '18', '0', '0', '0', '1', '2010-09-24 18:29:16', '2015-10-01 14:26:25', '') in D:\xampp\htdocs\Opencart\tt_optician\system\library\db\mysqli.php on line 41
2015-10-19 9:01:12 - PHP Notice:  Error: Unknown column 'thumbnail_image' in 'field list'<br />Error No: 1054<br />INSERT INTO `oc_category` (`category_id`, `image`, `parent_id`, `top`, `column`, `sort_order`, `status`, `date_added`, `date_modified`, `thumbnail_image`) VALUES ('46', '', '18', '0', '0', '0', '1', '2010-09-24 18:29:31', '2015-10-01 14:26:10', '') in D:\xampp\htdocs\Opencart\tt_optician\system\library\db\mysqli.php on line 41
2015-10-19 9:01:12 - PHP Notice:  Error: Unknown column 'thumbnail_image' in 'field list'<br />Error No: 1054<br />INSERT INTO `oc_category` (`category_id`, `image`, `parent_id`, `top`, `column`, `sort_order`, `status`, `date_added`, `date_modified`, `thumbnail_image`) VALUES ('72', '', '24', '0', '1', '0', '1', '2015-07-01 22:04:25', '2015-10-01 14:21:51', '') in D:\xampp\htdocs\Opencart\tt_optician\system\library\db\mysqli.php on line 41
2015-10-19 9:01:12 - PHP Notice:  Error: Unknown column 'thumbnail_image' in 'field list'<br />Error No: 1054<br />INSERT INTO `oc_category` (`category_id`, `image`, `parent_id`, `top`, `column`, `sort_order`, `status`, `date_added`, `date_modified`, `thumbnail_image`) VALUES ('66', '', '31', '0', '1', '0', '1', '2015-07-01 22:01:35', '2015-10-01 14:20:16', '') in D:\xampp\htdocs\Opencart\tt_optician\system\library\db\mysqli.php on line 41
2015-10-19 9:01:12 - PHP Notice:  Error: Unknown column 'thumbnail_image' in 'field list'<br />Error No: 1054<br />INSERT INTO `oc_category` (`category_id`, `image`, `parent_id`, `top`, `column`, `sort_order`, `status`, `date_added`, `date_modified`, `thumbnail_image`) VALUES ('65', '', '30', '0', '1', '0', '1', '2015-07-01 22:01:15', '2015-10-01 14:20:09', '') in D:\xampp\htdocs\Opencart\tt_optician\system\library\db\mysqli.php on line 41
